N, V, Time (ms)
1000000, 2, 0.000165
1000000, 4, 0.000127
1000000, 8, 0.000123
1000000, 16, 0.000108
1000000, 32, 0.000224
1000000, 64, 0.000113
1000000, 128, 0.000131
1000000, 256, 0.000111
