N, V, Time (ms)
100000, 2, 0.000416
100000, 4, 0.000118
100000, 8, 0.000108
100000, 16, 0.000165
100000, 32, 0.000153
100000, 64, 0.000105
100000, 128, 0.000153
100000, 256, 0.000172
