N, V, Time (ms)
10000000, 2, 0.000159
10000000, 4, 0.00018
10000000, 8, 0.00012
10000000, 16, 0.000113
10000000, 32, 0.000151
10000000, 64, 0.000103
10000000, 128, 0.00013
10000000, 256, 0.000133
