N, V, Time (ms)
1000, 2, 0.000147
1000, 4, 0.000171
1000, 8, 0.000101
1000, 16, 0.000146
1000, 32, 0.000158
1000, 64, 0.000107
1000, 128, 9.6e-05
1000, 256, 0.000103
